actiongeocountrycode,eventbasecode,No_events,Tone,Goldstein,yearmonth
AE,123,2,-1.639356500317275,-4.0,202001
AE,124,10,-4.541064296397735,-4.0,202001
AE,124,8,-2.6587682843268627,-4.0,202002
AE,125,1,1.6260162601626,-5.0,201901
AE,125,4,1.39173850345472,-5.0,201902
AE,125,15,-2.1621504087008905,-5.0,202001
AE,125,16,-1.546837473954202,-5.0,202002
AE,127,1,-4.98220640569395,-5.0,201912
AE,127,1,5.26315789473684,-5.0,202001
AE,128,8,-1.6796802794851764,-5.0,192001
AE,128,31,-3.293032340217331,-5.0,202001
AE,128,5,-2.6705130692715437,-5.0,202002
AE,129,1,-4.140625,-5.0,192001
AE,129,4,-0.12367507935944247,-5.0,202002
AE,130,29,-4.260479957224664,-4.4,192001
AE,130,2,-7.2463768115942,-4.4,201901
AE,130,1,-6.90883190883191,-4.4,201902
AE,130,131,-3.6832465225047626,-4.4,202001
AE,130,60,-3.304636129132293,-4.4,202002
AE,131,1,-8.8,-5.8,202001
AE,131,3,-2.490364644524927,-5.8,202002
AE,133,2,-3.1941031941032,-5.8,202002
AE,134,4,-8.19350740383771,-5.8,202001
AE,138,7,-6.16619982929624,-7.0,192001
AE,138,51,-4.910217982174009,-7.0,202001
AE,138,17,-3.2888799822601524,-7.0,202002
AE,139,5,1.7770811983844719,-7.0,202001
AE,141,5,-1.352404181184672,-6.5,192001
AE,141,58,-1.5559871916899957,-6.5,202001
AE,141,35,2.197410693678961,-6.5,202002
AE,142,2,-5.84552260293694,-6.5,202002
AE,143,2,-9.72332189671856,-6.5,202001
AE,143,2,-9.029031966769026,-6.5,202002
AE,145,4,-2.40452616690241,-7.5,202002
AE,150,4,-4.4500074147354,-7.2,192001
AE,150,9,1.7260108323345922,-7.199999999999999,202001
AE,150,11,-0.19736825707698202,-7.2,202002
AE,151,1,-2.20338983050847,-7.2,202001
AE,152,1,-5.10328068043743,-7.2,192001
AE,152,2,-8.67924528301887,-7.2,202002
AE,153,1,-2.50417362270451,-7.2,202002
AE,154,5,-4.462712360887775,-7.2,192001
AE,154,1,0.19607843137255,-7.2,201901
AE,154,18,-3.6549471680712884,-7.199999999999999,202001
AE,154,11,1.6831351107325725,-7.2,202002
AE,160,2,-4.8485081244893955,-4.0,192001
AE,160,1,-1.36986301369863,-4.0,201901
AE,160,3,-2.9184397163120566,-4.0,201912
AE,160,87,-3.405998667517568,-4.0,202001
AE,160,175,-3.9555055960371446,-4.0,202002
AE,161,3,-2.1364659756997035,-4.0,192001
AE,161,24,-2.6313758194775283,-4.0,202001
AE,161,13,-0.5030374413934123,-4.0,202002
AE,162,5,-4.649475985421156,-5.6,202001
AE,163,2,-0.54347826086957,-8.0,192001
AE,163,13,-4.618900052474773,-8.0,202001
AE,163,16,-2.636724034308516,-8.0,202002
AE,164,1,-1.5177065767285,-7.0,192001
AE,164,3,0.10644279527584333,-7.0,202001
AE,164,9,-2.6854329344841554,-7.0,202002
AE,166,4,-1.7894944198179175,-7.0,202001
AE,166,3,-1.11674663636716,-7.0,202002
AE,170,3,-4.804076266069673,-7.0,202001
AE,170,1,-4.27461139896373,-7.0,202002
AE,171,4,-4.57027266162217,-9.2,192001
AE,171,9,-6.343642883562511,-9.2,202001
AE,171,19,-4.823819722356331,-9.2,202002
AE,172,10,-2.03386280639919,-5.0,192001
AE,172,80,-2.897953268774163,-5.0,202001
AE,172,135,-2.6250960692727654,-5.0,202002
AE,173,37,-4.443678297510468,-5.0,192001
AE,173,29,-7.539157388675696,-5.0,201901
AE,173,6,-6.190522752435286,-5.0,201902
AE,173,14,-8.892496969475859,-5.0,201912
AE,173,361,-5.169725980981696,-5.0,202001
AE,173,356,-4.359566481111077,-5.0,202002
AE,174,3,-7.438103407676521,-5.0,201901
AE,174,2,-7.60401721664276,-5.0,201902
AE,174,20,-6.7886993440109435,-5.0,202001
AE,174,23,-6.305405224566945,-5.0,202002
AE,175,3,-6.094283953273977,-9.0,202001
AE,180,5,-10.421082044577707,-9.0,201902
